record_id,scenario_id,case_id,layer,task_type,endpoint_family,reference_answerability,reference_outcome,reference_basis,label_source,reference_quality_flag,disputed_reference
L1-0001,S001,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0
L1-0002,S001,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0
L1-0003,S001,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0
L1-0004,S001,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,DISPUTED_SOURCE_LABEL,1
L1-0005,S001,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0
L1-0006,S001,TC6,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0
L1-0007,S001,TC7,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0
L1-0008,S001,TC8,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0
L1-0009,S002,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0
L1-0010,S002,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0
