record_id,scenario_id,case_id,layer,task_type,endpoint_family,condition,reference_answerability,reference_outcome,reference_basis,source_label,reference_quality_flag,disputed_reference,dispute_reason,source_scenario_path,source_ground_truth_path
L1-0001,S001,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S001_geofence_basic.jsonc,data/main/layer1/references/S001_violations.json
L1-0002,S001,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S001_geofence_basic.jsonc,data/main/layer1/references/S001_violations.json
L1-0003,S001,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S001_geofence_basic.jsonc,data/main/layer1/references/S001_violations.json
L1-0004,S001,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,DISPUTED_SOURCE_LABEL,1,"The source object calls the zone cylindrical, while its frozen label uses three-dimensional point-to-center distance at 50 m altitude.",data/main/layer1/scenarios/S001_geofence_basic.jsonc,data/main/layer1/references/S001_violations.json
L1-0005,S001,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S001_geofence_basic.jsonc,data/main/layer1/references/S001_violations.json
L1-0006,S001,TC6,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S001_geofence_basic.jsonc,data/main/layer1/references/S001_violations.json
L1-0007,S001,TC7,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S001_geofence_basic.jsonc,data/main/layer1/references/S001_violations.json
L1-0008,S001,TC8,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S001_geofence_basic.jsonc,data/main/layer1/references/S001_violations.json
L1-0009,S002,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S002_multi_geofence.jsonc,data/main/layer1/references/S002_violations.json
L1-0010,S002,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S002_multi_geofence.jsonc,data/main/layer1/references/S002_violations.json
L1-0011,S002,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S002_multi_geofence.jsonc,data/main/layer1/references/S002_violations.json
L1-0012,S002,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S002_multi_geofence.jsonc,data/main/layer1/references/S002_violations.json
L1-0013,S003,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S003_path_crossing.jsonc,data/main/layer1/references/S003_violations.json
L1-0014,S003,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S003_path_crossing.jsonc,data/main/layer1/references/S003_violations.json
L1-0015,S003,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S003_path_crossing.jsonc,data/main/layer1/references/S003_violations.json
L1-0016,S003,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S003_path_crossing.jsonc,data/main/layer1/references/S003_violations.json
L1-0017,S004,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S004_airport_zones.jsonc,data/main/layer1/references/S004_violations.json
L1-0018,S004,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S004_airport_zones.jsonc,data/main/layer1/references/S004_violations.json
L1-0019,S004,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE_WITH_WARNING,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S004_airport_zones.jsonc,data/main/layer1/references/S004_violations.json
L1-0020,S004,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S004_airport_zones.jsonc,data/main/layer1/references/S004_violations.json
L1-0021,S005,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S005_dynamic_tfr.jsonc,data/main/layer1/references/S005_violations.json
L1-0022,S005,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S005_dynamic_tfr.jsonc,data/main/layer1/references/S005_violations.json
L1-0023,S005,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S005_dynamic_tfr.jsonc,data/main/layer1/references/S005_violations.json
L1-0024,S005,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S005_dynamic_tfr.jsonc,data/main/layer1/references/S005_violations.json
L1-0025,S005,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S005_dynamic_tfr.jsonc,data/main/layer1/references/S005_violations.json
L1-0026,S006,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S006_altitude_limit.jsonc,data/main/layer1/references/S006_violations.json
L1-0027,S006,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S006_altitude_limit.jsonc,data/main/layer1/references/S006_violations.json
L1-0028,S006,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S006_altitude_limit.jsonc,data/main/layer1/references/S006_violations.json
L1-0029,S006,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S006_altitude_limit.jsonc,data/main/layer1/references/S006_violations.json
L1-0030,S006,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S006_altitude_limit.jsonc,data/main/layer1/references/S006_violations.json
L1-0031,S006,TC6,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S006_altitude_limit.jsonc,data/main/layer1/references/S006_violations.json
L1-0032,S007,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S007_zone_altitude_limits.jsonc,data/main/layer1/references/S007_violations.json
L1-0033,S007,TC2,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S007_zone_altitude_limits.jsonc,data/main/layer1/references/S007_violations.json
L1-0034,S007,TC3,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S007_zone_altitude_limits.jsonc,data/main/layer1/references/S007_violations.json
L1-0035,S007,TC4,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S007_zone_altitude_limits.jsonc,data/main/layer1/references/S007_violations.json
L1-0036,S007,TC5,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S007_zone_altitude_limits.jsonc,data/main/layer1/references/S007_violations.json
L1-0037,S007,TC6,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,APPROVE,DETERMINISTIC,APPROVE,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S007_zone_altitude_limits.jsonc,data/main/layer1/references/S007_violations.json
L1-0038,S007,TC7,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S007_zone_altitude_limits.jsonc,data/main/layer1/references/S007_violations.json
L1-0039,S007,TC8,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S007_zone_altitude_limits.jsonc,data/main/layer1/references/S007_violations.json
L1-0040,S008,TC1,1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,RAW,ANSWERABLE,REJECT,DETERMINISTIC,REJECT,FROZEN_SOURCE_LABEL,0,,data/main/layer1/scenarios/S008_structure_waiver.jsonc,data/main/layer1/references/S008_violations.json
