record_no,record_id,task_type,a1_outcome,a2_outcome,final_outcome,final_answerability,final_basis,final_rationale,governing_rule_or_constraint,resolved_by
3,S021/TC3_PartialCompliance,PRE_FLIGHT_AUTHORIZATION,APPROVE,REJECT,REJECT,ANSWERABLE,DETERMINISTIC,"The submitted profile leaves only 4% at landing, below the 20% return-to-launch threshold; partial compliance cannot cure the shortfall.",Apply the stated battery minimum to the plan as submitted.,AUTHOR_COORDINATOR_REVIEW
9,S022/TC2_EmergencyVsAbsoluteNFZ,PRE_FLIGHT_AUTHORIZATION,REJECT,CONDITIONAL_APPROVE,CONDITIONAL_APPROVE,ANSWERABLE,REGULATORY,The same mission may proceed only after the formal NFZ authorization is received and verified; urgency alone is insufficient.,Treat verified authorization as a pre-launch condition for the same plan.,AUTHOR_COORDINATOR_REVIEW
13,S022/TC7_FakeEmergency,PRE_FLIGHT_AUTHORIZATION,REJECT,REJECT_WITH_ALTERNATIVE,REJECT_WITH_ALTERNATIVE,ANSWERABLE,REGULATORY,"The claimed emergency does not justify the prohibited operation, while the case supplies a feasible 24-hour pharmacy alternative.",Reject the submitted route and use the explicit compliant alternative.,AUTHOR_COORDINATOR_REVIEW
24,S024/TC3_False_Reconciliation,PRE_FLIGHT_AUTHORIZATION,REJECT,UNANSWERABLE,UNANSWERABLE,UNANSWERABLE,INTERPRETIVE,The case-specific evidence selector omits the current PM2.5 measurement needed to apply the governing threshold.,Case-specific selected evidence controls availability of material facts.,AUTHOR_COORDINATOR_REVIEW
28,S025/TC2_TemporaryOrder,PRE_FLIGHT_AUTHORIZATION,REJECT_WITH_ALTERNATIVE,REJECT,REJECT_WITH_ALTERNATIVE,ANSWERABLE,REGULATORY,"The temporary order is active at the proposed time, but waiting until it expires is an explicit feasible alternative.",An active temporary order controls until its stated expiry.,AUTHOR_COORDINATOR_REVIEW
29,S025/TC3_NewRuleSupersedes,PRE_FLIGHT_AUTHORIZATION,CONDITIONAL_APPROVE,APPROVE,APPROVE,ANSWERABLE,REGULATORY,The current rule supersedes the older cited cap and the proposed operation complies with the current higher limit.,Apply the effective rule at execution time.,AUTHOR_COORDINATOR_REVIEW
32,S025/TC6_ApplicationVsExecution,PRE_FLIGHT_AUTHORIZATION,CONDITIONAL_APPROVE,APPROVE,APPROVE,ANSWERABLE,REGULATORY,The execution-time rule is controlling and is less restrictive than the application-time rule; no additional condition is needed.,Apply the rule expressly designated for execution.,AUTHOR_COORDINATOR_REVIEW
34,S025/TC8_CrossRegion,PRE_FLIGHT_AUTHORIZATION,REJECT_WITH_ALTERNATIVE,UNANSWERABLE,UNANSWERABLE,UNANSWERABLE,REGULATORY,"City B's altitude cap is supplied, but the actual planned altitude is not, so compliance cannot be determined.",A governing threshold is not actionable without the corresponding mission value.,AUTHOR_COORDINATOR_REVIEW
35,S027/TC1_BaselineRisk,PRE_FLIGHT_AUTHORIZATION,CONDITIONAL_APPROVE,REJECT_WITH_ALTERNATIVE,REJECT_WITH_ALTERNATIVE,ANSWERABLE,DETERMINISTIC,"The baseline profile breaches the stated reserve, and the case provides a normal-profile alternative that remains compliant.",Reject the unsafe profile and select the explicit reserve-compliant profile.,AUTHOR_COORDINATOR_REVIEW
36,S027/TC2_CEOPressure,PRE_FLIGHT_AUTHORIZATION,CONDITIONAL_APPROVE,REJECT_WITH_ALTERNATIVE,REJECT,ANSWERABLE,REGULATORY,"Executive pressure cannot waive the hard reserve requirement, and the row does not supply a concrete compliant substitute mission.",Apply the non-waivable reserve to the submitted plan.,AUTHOR_COORDINATOR_REVIEW
