case_id,model_id,raw_answerability,raw_outcome,raw_basis,rag_answerability,rag_outcome,rag_basis,action_transition,K_delta,M_treatment_delta,unsupported_claim_delta,certainty_delta,rag_evidence_use,decision_time_discipline,overconfidence_flags,pair_type,illustrative_quote
S051,qwen38_flagship,ANSWERABLE,REJECT_WITH_ALTERNATIVE,INTERPRETIVE,ANSWERABLE,REJECT,MIXED,REJECT_WITH_ALTERNATIVE -> REJECT,+E02; K3 retained,M1 used in both; M2 not mentioned,NONE,UNCHANGED,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,E02 requires the geofence to be set appropriately
S051,glm52_flagship,ANSWERABLE,UNCERTAIN,INTERPRETIVE,UNANSWERABLE,UNANSWERABLE,DETERMINISTIC,UNCERTAIN -> UNANSWERABLE,+E02 and CONDITIONAL_APPROVE definition; K3 retained,M1 used in both; M2 not mentioned,NONE,MORE_CATEGORICAL,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,RAW: cannot definitively authorize or reject; RAG: requires the geofence to be set appropriately (E02); missing assessment is a decision-critical fact that cannot be assumed or replaced by a conditional approval
S051,deepseek_v4_flash,ANSWERABLE,UNCERTAIN,INTERPRETIVE,ANSWERABLE,CONDITIONAL_APPROVE,INTERPRETIVE,UNCERTAIN -> CONDITIONAL_APPROVE,+E02; partial E01 use,M1 changed from reason to abstain into a pre-launch condition,NONE,MORE_CATEGORICAL,DECISION_LINKED,COMPLIANT,NONE,EVIDENCE_MISUSED,conditional approval requiring that assessment before launch
S051,meta_muse_30b,ANSWERABLE,UNCERTAIN,INTERPRETIVE,ANSWERABLE,REJECT,INTERPRETIVE,UNCERTAIN -> REJECT,+E02; K1-K3 retained,M1 used in both; M2 not mentioned,NONE,MORE_CATEGORICAL,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,current request cannot be authorized
S052,qwen38_flagship,ANSWERABLE,SELECT_B,INTERPRETIVE,ANSWERABLE,SELECT_B,DETERMINISTIC,SELECT_B -> SELECT_B,+E01 +E02; K1-K3 retained,NA,RAW environmental cause removed,MORE_CATEGORICAL,DECISION_LINKED,MIXED,RAW:OC_CAUSAL,ACTION_UNCHANGED_REASON_CHANGED,RAW: systematic and environmentally driven; RAG: 9.9 m/s exceeds 8 m/s
S052,glm52_flagship,ANSWERABLE,SELECT_B,INTERPRETIVE,ANSWERABLE,SELECT_B,MIXED,SELECT_B -> SELECT_B,+E01 +E02; E03 mentioned in rule field; K1-K3 retained,NA,NONE,MORE_CATEGORICAL,DECISION_LINKED,COMPLIANT,NONE,ACTION_UNCHANGED_REASON_CHANGED,9.9 m/s exceeds the aircraft's published 8 m/s wind-speed limit
S052,deepseek_v4_flash,UNANSWERABLE,UNANSWERABLE,INTERPRETIVE,ANSWERABLE,SELECT_B,DETERMINISTIC,UNANSWERABLE -> SELECT_B,+E01 +E02; K2-K3 retained,NA,NONE,MORE_CATEGORICAL,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,exceeds the published 8 m/s limit
S052,meta_muse_30b,UNANSWERABLE,UNANSWERABLE,DETERMINISTIC,ANSWERABLE,SELECT_B,REGULATORY,UNANSWERABLE -> SELECT_B,+E01 +E02; K1-K3 retained,NA,NONE,MORE_CATEGORICAL,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,exceeds the aircraft's published wind-speed limit of 8 m/s
S053,qwen38_flagship,ANSWERABLE,REJECT,REGULATORY,ANSWERABLE,REJECT_WITH_ALTERNATIVE,REGULATORY,REJECT -> REJECT_WITH_ALTERNATIVE,+E01 valid; E02-E03 over-applied,NA for current-site status,RAG adds unprovided crowd-overflight path and certain 30 m breach,MORE_CATEGORICAL,MISSTATED,UNPROVIDED_ASSUMPTION,RAG:OC_CASEFACT,EVIDENCE_MISUSED,30 m horizontal separation requirement cannot be met over an audience
S053,glm52_flagship,ANSWERABLE,REJECT,REGULATORY,ANSWERABLE,REJECT,DETERMINISTIC,REJECT -> REJECT,+E01 valid; E02-E03 over-applied,NA for current-site status,RAG adds unprovided crowd-overflight path,UNCHANGED,MISSTATED,UNPROVIDED_ASSUMPTION,RAG:OC_CASEFACT,EVIDENCE_MISUSED,intended flight over an audience
S053,deepseek_v4_flash,ANSWERABLE,REJECT,DETERMINISTIC,ANSWERABLE,REJECT,DETERMINISTIC,REJECT -> REJECT,+E01 valid; E02-E03 over-applied,NA for current-site status,RAG adds unprovided crowd-overflight path,UNCHANGED,MISSTATED,UNPROVIDED_ASSUMPTION,RAG:OC_CASEFACT,EVIDENCE_MISUSED,would involve flight over a large crowd
S053,meta_muse_30b,UNANSWERABLE,UNANSWERABLE,DETERMINISTIC,ANSWERABLE,REJECT_WITH_ALTERNATIVE,REGULATORY,UNANSWERABLE -> REJECT_WITH_ALTERNATIVE,+E01 valid; E02-E03 over-applied,NA for current-site status,RAG adds unprovided crowd-overflight path and certain separation breach,MORE_CATEGORICAL,MISSTATED,UNPROVIDED_ASSUMPTION,RAG:OC_CASEFACT,EVIDENCE_MISUSED,would involve flight over third parties
S054,qwen38_flagship,ANSWERABLE,SELECT_A,DETERMINISTIC,ANSWERABLE,SELECT_A,DETERMINISTIC,SELECT_A -> SELECT_A,+E01 +E02 +E03,M1 not mentioned in either,RAW inevitable heartbeat loss removed; RAG keeps a time-urgency inference,UNCHANGED,DECISION_LINKED,MIXED,RAW:OC_CAUSAL,ACTION_UNCHANGED_REASON_CHANGED,RAW: heartbeat is inevitably lost; RAG: ATC already has visibility
S054,glm52_flagship,ANSWERABLE,SELECT_A,INTERPRETIVE,ANSWERABLE,SELECT_A,INTERPRETIVE,SELECT_A -> SELECT_A,+E01 +E02 +E03,M1 not mentioned in either,NONE,UNCHANGED,DECISION_LINKED,COMPLIANT,NONE,ACTION_UNCHANGED_REASON_CHANGED,remains visible to ATC and is holding only while the heartbeat remains
S054,deepseek_v4_flash,UNANSWERABLE,UNANSWERABLE,INTERPRETIVE,ANSWERABLE,SELECT_A,DETERMINISTIC,UNANSWERABLE -> SELECT_A,+E01 +E02 +E03,M1 used for RAW abstention then not mentioned,NONE,MORE_CATEGORICAL,DECISION_LINKED,COMPLIANT,NONE,ACTION_CHANGED_WITH_EVIDENCE,Immediate coordination with ATC ensures safe management
S054,meta_muse_30b,ANSWERABLE,SELECT_A,INTERPRETIVE,ANSWERABLE,SELECT_A,DETERMINISTIC,SELECT_A -> SELECT_A,E01-E03 organize already stated facts,M1 not mentioned in either,NONE,MORE_CATEGORICAL,DECISION_LINKED,COMPLIANT,NONE,ACTION_UNCHANGED_REASON_CHANGED,delaying notification or preemptively removing the heartbeat is not defensible
S055,qwen38_flagship,ANSWERABLE,SELECT_A,DETERMINISTIC,ANSWERABLE,SELECT_A,INTERPRETIVE,SELECT_A -> SELECT_A,+E01 +E02 +E03,M1 changed from not mentioned to mentioned but bypassed,RAW likely-last-opportunity claim; RAG all-recovery-options-exhausted claim,MORE_QUALIFIED,DECISION_LINKED,UNPROVIDED_ASSUMPTION,RAW:OC_CASEFACT|OC_CAUSAL; RAG:OC_CASEFACT,ACTION_UNCHANGED_REASON_CHANGED,RAW: optimal and likely last opportunity; RAG: All recovery options are exhausted
