scenario_id,case_id,model_id,model,condition,task_type,endpoint_family,answerability,primary_outcome,decision_basis,rationale,rule_or_constraint,format_rerun
OFFICIAL_RECORD_CHECK_V1,S051,qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAW_SOURCE_PROBE_V1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,REJECT_WITH_ALTERNATIVE,INTERPRETIVE,"The case file explicitly states that no flight-specific assessment of geofence suitability exists; the crew accepted the parameters solely because they are the organisation's standard training setting. The remote pilot, as final release authority, cannot confirm the geofence is appropriate for this specific operation without such an assessment. The alternative is to complete a flight-specific suitability assessment and re-submit the request.",CASE S051: 'the case file contains no flight-specific assessment of whether that setting is suitable' — the absence of a flight-specific assessment prevents the remote pilot from verifying geofence adequacy for this particular flight.,False
OFFICIAL_RECORD_CHECK_V1,S051,qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAG_SOURCE_PROBE_V1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,REJECT,MIXED,"E02 requires the geofence to be set appropriately, but the case record explicitly states no flight-specific assessment of suitability exists; the crew's reliance on the organisation's standard setting alone does not satisfy that requirement. No concrete feasible alternative is supplied in the record, making REJECT the appropriate disposition.","E02 (geofence must be set appropriately, with no criteria supplied to confirm appropriateness for this operation) combined with the case record's explicit statement that no flight-specific assessment of suitability is present.",False
OFFICIAL_RECORD_CHECK_V1,S051,glm52_flagship,z-ai/glm-5.2,RAW_SOURCE_PROBE_V1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,UNCERTAIN,INTERPRETIVE,"The crew accepted the proposed geofence based solely on organizational standard, but the case file lacks any flight-specific assessment of whether that setting is suitable for this flight. Without this assessment, the remote pilot cannot definitively authorize or reject the current flight request.",Case file contains no flight-specific assessment of whether the standard training setting is suitable.,False
OFFICIAL_RECORD_CHECK_V1,S051,glm52_flagship,z-ai/glm-5.2,RAG_SOURCE_PROBE_V1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,UNANSWERABLE,UNANSWERABLE,DETERMINISTIC,"The operating-safety material requires the geofence to be set appropriately (E02), but the case file contains no flight-specific assessment of suitability for this training flight. Because this missing assessment is a decision-critical fact that cannot be assumed or replaced by a conditional approval, the record does not support a defensible immediate disposition.",E02,True
OFFICIAL_RECORD_CHECK_V1,S051,deepseek_v4_flash,deepseek/deepseek-v4-flash,RAW_SOURCE_PROBE_V1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,UNCERTAIN,INTERPRETIVE,"The case record lacks a flight-specific assessment of the proposed geofence suitability, which is necessary for a definitive authorization. Therefore, the remote pilot cannot determine whether to approve or reject the flight, resulting in an uncertain disposition.",Case record: no flight-specific assessment of geofence suitability.,False
OFFICIAL_RECORD_CHECK_V1,S051,deepseek_v4_flash,deepseek/deepseek-v4-flash,RAG_SOURCE_PROBE_V1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,CONDITIONAL_APPROVE,INTERPRETIVE,The proposed geofence is within permitted limits but the record lacks a flight-specific suitability assessment required by safety material. A conditional approval requiring that assessment before launch is appropriate.,"E02: operating-safety material requires geofence to be set appropriately, but no criteria given; condition needed to verify suitability.",False
OFFICIAL_RECORD_CHECK_V1,S051,meta_muse_30b,meta/muse-glimmer-30b,RAW_SOURCE_PROBE_V1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,UNCERTAIN,INTERPRETIVE,The case record shows the geofence was accepted as standard with no flight-specific suitability assessment for this manual stabilised skills-currency training flight. Without that assessment the remote pilot cannot make a defensible immediate authorization decision at the stated decision timepoint.,CASE S051: case_record states no flight-specific assessment of whether the 40 m high 300 m radius geofence setting is suitable,False
OFFICIAL_RECORD_CHECK_V1,S051,meta_muse_30b,meta/muse-glimmer-30b,RAG_SOURCE_PROBE_V1,PRE_FLIGHT_AUTHORIZATION,AUTHORIZATION_DECISION,ANSWERABLE,REJECT,INTERPRETIVE,"The case record shows the proposed 40 m by 300 m geofence was accepted only as the organisation’s standard setting and the file contains no flight-specific assessment of suitability for this skills-currency training flight in manual stabilised mode. With no verifiable assessment and no criteria in E02 to judge appropriateness, the current request cannot be authorized as submitted and no concrete feasible alternative is provided in the record.",CASE S051; E02 requires geofence to be set appropriately but gives no criteria for judging the setting for this operation; case record states no flight-specific assessment of suitability is present,False
OFFICIAL_RECORD_CHECK_V1,S052,qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAW_SOURCE_PROBE_V1,OPTION_SELECTION,OPTION_SELECTION,ANSWERABLE,SELECT_B,INTERPRETIVE,"With 85 of 500 aircraft (17%) already showing position-deviation errors while the swarm is still in the launch area and wind is 9.9 m/s, the errors are systematic and environmentally driven. Because the formation has not yet begun transition, a controlled recovery from the launch area remains feasible and is the safest immediate disposition to prevent further degradation or loss of aircraft.","CASE S052: 85 aircraft showing errors, all indicating deviation from planned position; wind 9.9 m/s; swarm still at launch area with transition not yet begun.",False
OFFICIAL_RECORD_CHECK_V1,S052,qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAG_SOURCE_PROBE_V1,OPTION_SELECTION,OPTION_SELECTION,ANSWERABLE,SELECT_B,DETERMINISTIC,"The real-time wind estimate of 9.9 m/s exceeds the published wind-speed limit of 8 m/s (E01), and 85 aircraft already show position deviations. Because the formation relies on high-precision positioning with no independent collision-avoidance capability (E02), continuing or partially continuing poses an unacceptable collision risk. Terminating before transition and initiating controlled recovery from the launch area is the only defensible immediate action.","E01 establishes the 8 m/s wind-speed limit, which is exceeded by the current 9.9 m/s reading; E02 establishes that position deviations cannot be mitigated by onboard collision avoidance, making continued flight unsafe.",False
